Time (s),Load (lbf),Machine Extension (in),Extension (in)
0.1671,0.0094788,0.0014639,0.0014639
0.1681,0.0095415,0.0014964,0.0014964
0.1691,0.0096043,0.0015289,0.0015289
0.1701,0.0096671,0.0015614,0.0015614
0.1711,0.0097298,0.0015939,0.0015939
0.1721,0.0097926,0.0016264,0.0016264
0.1731,0.0098554,0.0016589,0.0016589
0.1741,0.0099181,0.0016914,0.0016914
0.1751,0.0099809,0.0017239,0.0017239
0.1761,0.010044,0.0017564,0.0017564
0.1771,0.010106,0.0017831,0.0017831
0.1781,0.010169,0.0018066,0.0018066
0.1791,0.010232,0.0018302,0.0018302
0.1801,0.010295,0.0018537,0.0018537
0.1811,0.010358,0.0018772,0.0018772
0.1820,0.010420,0.0019008,0.0019008
0.1830,0.010483,0.0019243,0.0019243
0.1840,0.010546,0.0019478,0.0019478
0.1850,0.010609,0.0019637,0.0019637
0.1860,0.010671,0.0019775,0.0019775
0.1870,0.010734,0.0019914,0.0019914
0.1880,0.010797,0.0020052,0.0020052
0.1890,0.010860,0.0020190,0.0020190
0.1900,0.010922,0.0020329,0.0020329
0.1910,0.010985,0.0020467,0.0020467
0.1920,0.011048,0.0020605,0.0020605
0.1930,0.011111,0.0020743,0.0020743
0.1940,0.011173,0.0020882,0.0020882
0.1950,0.011236,0.0020942,0.0020942
0.1960,0.011299,0.0021001,0.0021001
0.1970,0.011362,0.0021059,0.0021059
0.1980,0.011425,0.0021117,0.0021117
0.1990,0.011487,0.0021175,0.0021175
0.2000,0.011550,0.0021234,0.0021234
0.2009,0.011613,0.0021292,0.0021292
0.2019,0.011676,0.0021350,0.0021350
0.2029,0.011738,0.0021409,0.0021409
0.2039,0.011801,0.0021467,0.0021467
0.2049,0.011864,0.0021525,0.0021525
0.2059,0.011885,0.0021583,0.0021583
0.2069,0.011898,0.0021642,0.0021642
0.2079,0.011912,0.0021700,0.0021700
0.2089,0.011925,0.0021758,0.0021758
0.2099,0.011939,0.0021816,0.0021816
0.2109,0.011952,0.0021875,0.0021875
0.2119,0.011965,0.0021933,0.0021933
0.2129,0.011979,0.0021991,0.0021991
0.2139,0.011992,0.0022074,0.0022074
0.2149,0.012006,0.0022207,0.0022207
0.2159,0.012019,0.0022339,0.0022339
0.2169,0.012033,0.0022471,0.0022471
0.2179,0.012046,0.0022603,0.0022603
0.2189,0.012060,0.0022736,0.0022736
0.2199,0.012073,0.0022868,0.0022868
0.2208,0.012086,0.0023000,0.0023000
0.2218,0.012100,0.0023132,0.0023132
0.2228,0.012113,0.0023265,0.0023265
0.2238,0.012127,0.0023397,0.0023397
0.2248,0.012140,0.0023529,0.0023529
0.2258,0.012154,0.0023680,0.0023680
0.2268,0.012167,0.0023847,0.0023847
0.2278,0.012181,0.0024013,0.0024013
0.2288,0.012194,0.0024180,0.0024180
0.2298,0.012207,0.0024346,0.0024346
0.2308,0.012221,0.0024512,0.0024512
0.2318,0.012234,0.0024679,0.0024679
0.2328,0.012248,0.0024845,0.0024845
0.2338,0.012261,0.0025012,0.0025012
0.2348,0.012275,0.0025178,0.0025178
0.2358,0.012288,0.0025345,0.0025345
0.2368,0.012302,0.0025511,0.0025511
0.2378,0.012315,0.0025677,0.0025677
0.2388,0.012328,0.0025844,0.0025844
0.2397,0.012342,0.0026010,0.0026010
0.2407,0.012355,0.0026177,0.0026177
0.2417,0.012369,0.0026343,0.0026343
0.2427,0.012382,0.0026509,0.0026509
0.2437,0.012396,0.0026676,0.0026676
0.2447,0.012409,0.0026842,0.0026842
0.2457,0.012423,0.0026980,0.0026980
0.2467,0.012436,0.0027116,0.0027116
0.2477,0.012449,0.0027251,0.0027251
0.2487,0.012463,0.0027387,0.0027387
0.2497,0.012476,0.0027522,0.0027522
0.2507,0.012490,0.0027658,0.0027658
0.2517,0.012503,0.0027793,0.0027793
0.2527,0.012517,0.0027929,0.0027929
0.2537,0.012530,0.0028064,0.0028064
0.2547,0.012544,0.0028200,0.0028200
0.2557,0.012557,0.0028335,0.0028335
0.2567,0.012570,0.0028471,0.0028471
0.2577,0.012584,0.0028606,0.0028606
0.2586,0.012597,0.0028742,0.0028742
0.2596,0.012611,0.0028877,0.0028877
0.2606,0.012624,0.0029013,0.0029013
0.2616,0.012638,0.0029148,0.0029148
0.2626,0.012651,0.0029284,0.0029284
0.2636,0.012665,0.0029419,0.0029419
0.2646,0.012670,0.0029581,0.0029581
0.2656,0.012674,0.0029806,0.0029806
0.2666,0.012679,0.0030031,0.0030031
0.2676,0.012684,0.0030256,0.0030256
0.2686,0.012688,0.0030481,0.0030481
0.2696,0.012693,0.0030706,0.0030706
0.2706,0.012698,0.0030932,0.0030932
0.2716,0.012703,0.0031157,0.0031157
0.2726,0.012707,0.0031382,0.0031382
0.2736,0.012712,0.0031607,0.0031607
0.2746,0.012717,0.0031832,0.0031832
0.2756,0.012721,0.0032058,0.0032058
0.2766,0.012726,0.0032283,0.0032283
0.2775,0.012731,0.0032508,0.0032508
